Id,Rarity Score,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
0,129.59,3,Female,Female-Mid,Blonde Bob,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
1,84.74,2,Male,Male-Dark,Mohawk,NONE,NONE,NONE,NONE,NONE,Smile,NONE,NONE
2,74.86,1,Female,Female-Light,Wild Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
3,88.45,3,Male,Male-Dark,Wild Hair,Nerd Glasses,NONE,NONE,NONE,Pipe,NONE,NONE,NONE
4,98.82,4,Male,Male-Mid,Wild Hair,Big Shades,Goat,NONE,NONE,NONE,NONE,NONE,Earring
5,130.85,3,Female,Female-Mid,Half Shaved,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
6,81.52,1,Male,Male-Mid,Do-rag,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
7,201.04,3,Female,Female-Mid,Wild White Hair,Clown Eyes Blue,NONE,Spots,NONE,NONE,NONE,NONE,NONE
8,76.55,2,Male,Male-Dark,Messy Hair,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
9,182.75,3,Male,Male-Mid,Police Cap,NONE,Big Beard,NONE,NONE,NONE,NONE,Clown Nose,NONE
10,83.34,2,Female,Female-Dark,Mohawk,Blue Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
11,130.53,3,Female,Female-Mid,Straight Hair Dark,Clown Eyes Green,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
12,117.06,2,Female,Female-Dark,Blonde Short,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
13,125.14,3,Female,Female-Light,Straight Hair Blonde,Big Shades,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
14,253.58,3,Female,Female-Dark,Pilot Helmet,NONE,NONE,NONE,NONE,Pipe,Hot Lipstick,NONE,NONE
15,103.95,3,Male,Male-Albino,Wild Hair,Regular Shades,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
16,68.63,3,Male,Male-Mid,Stringy Hair,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
17,80.61,2,Male,Male-Light,Mohawk,NONE,NONE,NONE,NONE,NONE,Frown,NONE,NONE
18,124.67,2,Male,Male-Mid,NONE,Eye Mask,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
19,74.99,3,Female,Female-Dark,Bandana,Horned Rim Glasses,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
20,72.33,1,Male,Male-Light,Crazy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
21,62.23,3,Male,Male-Light,Messy Hair,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
22,224.73,2,Female,Female-Dark,Pilot Helmet,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
23,92.93,3,Male,Male-Light,Do-rag,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,Earring
24,84.94,2,Male,Male-Light,Mohawk Dark,NONE,NONE,NONE,NONE,NONE,Smile,NONE,NONE
25,126.37,1,Female,Female-Dark,Wild White Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
26,115.97,1,Female,Female-Mid,Dark Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
27,56.7,2,Male,Male-Light,Peak Spike,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
28,61.69,2,Male,Male-Dark,Crazy Hair,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
29,111.38,3,Female,Female-Mid,Half Shaved,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
30,82.94,2,Male,Male-Dark,Cap,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
31,74.43,1,Female,Female-Dark,Stringy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
32,126.16,2,Male,Male-Light,NONE,VR,NONE,NONE,NONE,NONE,Frown,NONE,NONE
33,81.18,1,Male,Male-Light,Peak Spike,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
34,61.82,2,Female,Female-Light,Frumpy Hair,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
35,172.61,5,Male,Male-Dark,Peak Spike,Horned Rim Glasses,Normal Beard,NONE,NONE,Cigarette,NONE,NONE,Earring
36,120.3,1,Female,Female-Mid,Red Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
37,77.6,2,Female,Female-Dark,Cap,Clown Eyes Blue,NONE,NONE,NONE,NONE,NONE,NONE,NONE
38,78.6,3,Female,Female-Light,Frumpy Hair,Classic Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
39,107.11,3,Male,Male-Light,Shaved Head,Regular Shades,NONE,NONE,NONE,NONE,Frown,NONE,NONE
40,115.76,3,Male,Male-Light,Bandana,NONE,Chinstrap,NONE,NONE,NONE,Smile,NONE,NONE
41,98.27,3,Male,Male-Dark,Wild Hair,Clown Eyes Green,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
42,57.18,2,Female,Female-Dark,Wild Hair,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
43,120.3,1,Female,Female-Mid,Half Shaved,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
44,69.92,1,Male,Male-Light,Messy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
45,78.79,2,Male,Male-Mid,NONE,NONE,NONE,Mole,NONE,NONE,NONE,NONE,Earring
46,106.54,2,Female,Female-Mid,Straight Hair Dark,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
47,72.48,1,Male,Male-Dark,Knitted Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
48,59.78,2,Male,Male-Light,Mohawk,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
49,82.03,2,Female,Female-Dark,Bandana,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
50,154.28,2,Male,Male-Mid,Fedora,NONE,NONE,Spots,NONE,NONE,NONE,NONE,NONE
51,76.96,3,Male,Male-Mid,Wild Hair,NONE,Muttonchops,NONE,NONE,NONE,NONE,NONE,Earring
52,84.64,4,Male,Male-Dark,Knitted Cap,Nerd Glasses,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
53,107.64,2,Female,Female-Light,Straight Hair,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
54,87.22,1,Male,Male-Dark,Hoodie,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
55,107.98,1,Male,Male-Light,NONE,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
56,81.94,1,Male,Male-Dark,Shaved Head,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
57,72.81,1,Male,Male-Light,Headband,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
58,92.64,2,Male,Male-Mid,Hoodie,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
59,134.19,2,Male,Male-Albino,Cowboy Hat,NONE,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
60,60.79,2,Female,Female-Light,Stringy Hair,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
61,116.18,1,Female,Female-Light,Dark Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
62,92.42,4,Female,Female-Dark,Mohawk Dark,Clown Eyes Blue,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,Earring
63,80.78,3,Male,Male-Dark,Shaved Head,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
64,108.42,2,Female,Female-Mid,Straight Hair Blonde,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
65,81.27,2,Female,Female-Mid,Headband,Eye Mask,NONE,NONE,NONE,NONE,NONE,NONE,NONE
66,109.02,1,Female,Female-Dark,Tassle Hat,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
67,139.4,3,Female,Female-Dark,Half Shaved,3D Glasses,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
68,69.66,2,Male,Male-Dark,Do-rag,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
69,107.8,2,Male,Male-Mid,Fedora,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
70,81.81,4,Female,Female-Mid,Crazy Hair,Regular Shades,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
71,140.99,3,Female,Female-Light,Half Shaved,Green Eye Shadow,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
72,129.77,4,Male,Male-Dark,Fedora,Nerd Glasses,Normal Beard,NONE,NONE,NONE,NONE,NONE,Earring
73,62.86,3,Female,Female-Mid,Bandana,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,Earring
74,64.32,3,Male,Male-Dark,Mohawk Dark,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
75,80.86,3,Male,Male-Light,Knitted Cap,Eye Patch,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
76,63.49,2,Male,Male-Light,Do-rag,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
77,79.47,2,Male,Male-Dark,Stringy Hair,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
78,99.88,3,Male,Male-Mid,Knitted Cap,Eye Patch,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
79,77.41,2,Male,Male-Dark,Mohawk Dark,NONE,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
80,87.86,2,Male,Male-Albino,Wild Hair,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
81,69.5,2,Male,Male-Light,Headband,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
82,84.16,1,Male,Male-Albino,Headband,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
83,113.17,3,Male,Male-Light,Shaved Head,Small Shades,NONE,NONE,NONE,Vape,NONE,NONE,NONE
84,61,3,Male,Male-Light,Messy Hair,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
85,76.99,1,Female,Female-Dark,Crazy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
86,103.84,4,Female,Female-Dark,Knitted Cap,Green Eye Shadow,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,Earring
87,62.31,2,Male,Male-Light,Hoodie,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
88,66.78,2,Female,Female-Light,Cap,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
89,300.78,1,Female,Female-Dark,NONE,NONE,NONE,NONE,Choker,NONE,NONE,NONE,NONE
90,78.73,2,Male,Male-Mid,Hoodie,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
91,137.64,2,Female,Female-Light,Straight Hair,NONE,NONE,NONE,NONE,NONE,NONE,Clown Nose,NONE
92,158.8,3,Female,Female-Light,Pink With Hat,Nerd Glasses,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
93,73.28,1,Female,Female-Light,Bandana,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
94,149.46,3,Female,Female-Dark,Pink With Hat,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
95,46.39,2,Male,Male-Mid,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
96,120.51,1,Female,Female-Light,Blonde Bob,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
97,70.56,1,Male,Male-Mid,Wild Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
98,216.97,3,Female,Female-Light,Dark Hair,Welding Goggles,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
99,68.78,2,Male,Male-Mid,Hoodie,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
100,108.45,1,Female,Female-Mid,Tassle Hat,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
101,85.17,2,Male,Male-Mid,Police Cap,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
102,122.42,2,Male,Male-Mid,Vampire Hair,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
103,142.28,3,Female,Female-Dark,Blonde Bob,Green Eye Shadow,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
104,104.73,4,Male,Male-Dark,Crazy Hair,Eye Patch,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
105,70.85,1,Male,Male-Light,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
106,121.93,1,Female,Female-Light,Straight Hair Blonde,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
107,72.82,1,Male,Male-Mid,Headband,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
108,64.76,2,Female,Female-Light,Headband,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
109,113.79,3,Male,Male-Dark,Fedora,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,Earring
110,79.02,4,Female,Female-Dark,Mohawk Dark,NONE,NONE,NONE,NONE,Cigarette,Purple Lipstick,NONE,Earring
111,81.74,2,Male,Male-Dark,Knitted Cap,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
112,131.83,4,Male,Male-Mid,Bandana,Horned Rim Glasses,Big Beard,NONE,NONE,NONE,NONE,NONE,Earring
113,82.2,1,Male,Male-Albino,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
114,120.86,1,Female,Female-Dark,Red Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
115,96.38,2,Female,Female-Dark,Half Shaved,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
116,252.77,4,Female,Female-Dark,Tiara,Clown Eyes Blue,NONE,NONE,NONE,NONE,Black Lipstick,NONE,Earring
117,299.86,2,Zombie,Zombie,Messy Hair,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
118,60.92,2,Female,Female-Light,Bandana,NONE,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
119,52.2,2,Male,Male-Mid,Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
120,97.38,2,Female,Female-Mid,Tassle Hat,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
121,221.01,2,Female,Female-Light,Tiara,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
122,52.83,2,Male,Male-Light,Mohawk,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
123,178.13,2,Female,Female-Mid,Wild White Hair,NONE,NONE,Spots,NONE,NONE,NONE,NONE,NONE
124,89.19,3,Male,Male-Mid,Peak Spike,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
125,110.93,3,Female,Female-Light,Tassle Hat,Big Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
126,92.25,4,Male,Male-Albino,Headband,Eye Patch,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
127,70.28,2,Female,Female-Mid,Stringy Hair,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
128,158.36,4,Male,Male-Light,Police Cap,NONE,Chinstrap,Mole,NONE,Vape,NONE,NONE,NONE
129,148.04,4,Male,Male-Light,Cap Forward,Horned Rim Glasses,NONE,NONE,Gold Chain,Cigarette,NONE,NONE,NONE
130,70.85,1,Male,Male-Light,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
131,105.64,2,Female,Female-Mid,Straight Hair Dark,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
132,71.29,1,Male,Male-Dark,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
133,156.58,3,Male,Male-Albino,Purple Hair,NONE,Chinstrap,NONE,NONE,Pipe,NONE,NONE,NONE
134,97.45,1,Male,Male-Mid,Police Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
135,87.55,1,Male,Male-Light,Cap Forward,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
136,95.24,3,Male,Male-Dark,Shaved Head,Clown Eyes Green,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
137,70.35,1,Male,Male-Dark,Messy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
138,58.7,2,Male,Male-Light,Stringy Hair,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
139,73.45,2,Male,Male-Mid,Do-rag,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
140,106.51,1,Female,Female-Dark,NONE,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
141,111.77,3,Male,Male-Dark,Headband,3D Glasses,Chinstrap,NONE,NONE,NONE,NONE,NONE,NONE
142,60.06,2,Male,Male-Light,Mohawk,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
143,264.38,2,Male,Male-Light,Beanie,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
144,86.05,3,Male,Male-Dark,Frumpy Hair,NONE,Luxurious Beard,NONE,NONE,Cigarette,NONE,NONE,NONE
145,70.55,1,Male,Male-Light,Wild Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
146,46.37,2,Male,Male-Light,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
147,71.41,2,Male,Male-Albino,Mohawk Thin,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
148,86.8,1,Male,Male-Mid,Hoodie,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
149,91.68,3,Male,Male-Light,Messy Hair,Big Shades,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
150,82.37,2,Female,Female-Mid,NONE,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
151,70.14,2,Male,Male-Mid,Stringy Hair,VR,NONE,NONE,NONE,NONE,NONE,NONE,NONE
152,67.9,2,Male,Male-Light,Mohawk Dark,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
153,83.2,3,Male,Male-Mid,Cap,Eye Mask,NONE,NONE,NONE,NONE,NONE,NONE,Earring
154,79.62,3,Male,Male-Dark,Hoodie,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
155,135.1,2,Male,Male-Dark,Clown Hair Green,NONE,NONE,NONE,NONE,NONE,NONE,Clown Nose,NONE
156,84.67,2,Male,Male-Dark,Cap Forward,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
157,58.66,2,Male,Male-Mid,Cap,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
158,91.53,3,Male,Male-Light,Wild Hair,Regular Shades,Goat,NONE,NONE,NONE,NONE,NONE,NONE
159,45.3,2,Male,Male-Light,Stringy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
160,168.27,3,Female,Female-Mid,Pigtails,Clown Eyes Blue,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
161,61.27,2,Female,Female-Dark,Frumpy Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
162,92.22,3,Male,Male-Mid,Frumpy Hair,Horned Rim Glasses,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
163,73.87,2,Male,Male-Dark,Shaved Head,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
164,74.22,2,Female,Female-Mid,Stringy Hair,VR,NONE,NONE,NONE,NONE,NONE,NONE,NONE
165,89.81,3,Male,Male-Mid,Mohawk Dark,NONE,Front Beard Dark,NONE,NONE,Cigarette,NONE,NONE,NONE
166,71.15,2,Male,Male-Dark,Shaved Head,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
167,62.71,2,Female,Female-Mid,Headband,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
168,190.82,3,Female,Female-Light,Blonde Bob,Blue Eye Shadow,NONE,NONE,Silver Chain,NONE,NONE,NONE,NONE
169,127.45,3,Female,Female-Mid,Wild White Hair,Regular Shades,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
170,85.18,3,Male,Male-Light,Peak Spike,Classic Shades,NONE,Mole,NONE,NONE,NONE,NONE,NONE
171,59.15,3,Male,Male-Mid,Stringy Hair,NONE,NONE,Mole,NONE,NONE,NONE,NONE,Earring
172,138.84,3,Female,Female-Mid,Blonde Bob,3D Glasses,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
173,186.08,5,Female,Female-Dark,Messy Hair,Clown Eyes Blue,NONE,Mole,NONE,Pipe,Hot Lipstick,NONE,NONE
174,62.06,3,Male,Male-Dark,Wild Hair,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
175,65.61,2,Male,Male-Mid,Cap,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
176,85.32,4,Female,Female-Dark,Wild Hair,Regular Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
177,75.6,2,Male,Male-Dark,Bandana,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
178,101.95,1,Male,Male-Mid,Fedora,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
179,89.24,3,Male,Male-Albino,Mohawk Thin,Classic Shades,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
180,223.83,2,Female,Female-Dark,Pilot Helmet,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
181,71.29,1,Male,Male-Dark,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
182,92.53,1,Male,Male-Albino,Peak Spike,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
183,106.3,1,Male,Male-Light,NONE,NONE,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
184,128,2,Female,Female-Dark,Blonde Bob,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
185,111.82,2,Female,Female-Light,Wild White Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
186,78.73,2,Male,Male-Dark,Crazy Hair,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
187,118.71,1,Female,Female-Light,Straight Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
188,71.48,3,Male,Male-Dark,Peak Spike,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
189,61.87,2,Female,Female-Light,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
190,73.24,1,Male,Male-Dark,Headband,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
191,75.51,1,Female,Female-Dark,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
192,111.7,4,Male,Male-Mid,Mohawk Thin,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,Clown Nose,Earring
193,117.95,3,Female,Female-Light,Tassle Hat,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
194,66.96,2,Male,Male-Light,Wild Hair,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
195,109.65,2,Female,Female-Light,Straight Hair Blonde,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
196,110.03,3,Female,Female-Light,Tassle Hat,Big Shades,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
197,63.16,2,Male,Male-Dark,Frumpy Hair,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
198,281.67,2,Male,Male-Mid,Beanie,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
199,120.16,2,Female,Female-Light,Blonde Short,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
200,75.21,1,Female,Female-Dark,Wild Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
201,150.25,4,Female,Female-Mid,Dark Hair,Blue Eye Shadow,NONE,NONE,NONE,Cigarette,Hot Lipstick,NONE,NONE
202,65.98,3,Female,Female-Light,Headband,NONE,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,Earring
203,93.63,3,Male,Male-Light,Messy Hair,Regular Shades,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
204,61.55,2,Male,Male-Mid,Crazy Hair,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
205,92.9,3,Male,Male-Mid,Mohawk Dark,Big Shades,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
206,115.09,3,Male,Male-Light,Cap Forward,NONE,NONE,NONE,NONE,Cigarette,NONE,Clown Nose,NONE
207,102.86,3,Male,Male-Light,Peak Spike,Eye Patch,NONE,NONE,NONE,Pipe,NONE,NONE,NONE
208,88.88,3,Male,Male-Mid,Shaved Head,3D Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
209,60.24,2,Female,Female-Dark,Stringy Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
210,95.36,2,Female,Female-Mid,Straight Hair Dark,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
211,76.42,2,Male,Male-Dark,Mohawk Thin,NONE,Goat,NONE,NONE,NONE,NONE,NONE,NONE
212,62.8,2,Female,Female-Dark,Crazy Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
213,76.43,1,Female,Female-Mid,Crazy Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
214,80.99,2,Male,Male-Dark,Mohawk,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
215,74.95,1,Female,Female-Mid,Mohawk,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
216,68.98,1,Male,Male-Mid,Bandana,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
217,80.35,3,Male,Male-Mid,Mohawk Dark,NONE,Chinstrap,NONE,NONE,NONE,NONE,NONE,Earring
218,121.02,4,Male,Male-Light,Cap,Regular Shades,Handlebars,Mole,NONE,NONE,NONE,NONE,NONE
219,153.9,4,Female,Female-Dark,Bandana,Clown Eyes Blue,NONE,Rosy Cheeks,NONE,NONE,NONE,NONE,Earring
220,73.08,2,Male,Male-Albino,Headband,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
221,105.26,4,Male,Male-Dark,Stringy Hair,Classic Shades,Muttonchops,NONE,NONE,Cigarette,NONE,NONE,NONE
222,107.95,3,Male,Male-Light,Do-rag,Small Shades,NONE,NONE,NONE,Pipe,NONE,NONE,NONE
223,92.17,3,Male,Male-Light,Crazy Hair,Nerd Glasses,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
224,76.7,4,Male,Male-Light,Headband,Nerd Glasses,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
225,187.29,3,Female,Female-Mid,Orange Side,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,Earring
226,105.95,1,Female,Female-Mid,NONE,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
227,125.8,1,Female,Female-Mid,Wild White Hair,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
228,77.88,2,Male,Male-Mid,Peak Spike,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
229,51.89,2,Male,Male-Light,Messy Hair,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
