Id,Rarity Score,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
5645,268.58,2,Female,Female-Light,Pilot Helmet,NONE,NONE,NONE,Gold Chain,NONE,NONE,NONE,NONE
5646,152.73,3,Female,Female-Mid,Pigtails,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5647,179.57,5,Male,Male-Mid,Bandana,Nerd Glasses,Goat,NONE,NONE,Pipe,NONE,NONE,Earring
5648,81.06,3,Female,Female-Light,Mohawk Dark,Eye Patch,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
5649,175.2,3,Female,Female-Light,Blonde Short,NONE,NONE,NONE,Gold Chain,NONE,Black Lipstick,NONE,NONE
5650,91.12,3,Male,Male-Mid,Stringy Hair,Regular Shades,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
5651,123.25,2,Male,Male-Albino,Purple Hair,NONE,NONE,NONE,NONE,Pipe,NONE,NONE,NONE
5652,104.86,2,Female,Female-Mid,Tassle Hat,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5653,109.76,4,Male,Male-Dark,Mohawk Thin,Clown Eyes Green,Front Beard,NONE,NONE,NONE,NONE,NONE,Earring
5654,58.85,3,Male,Male-Mid,Bandana,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5655,99.41,4,Male,Male-Mid,Stringy Hair,NONE,NONE,NONE,NONE,Cigarette,Smile,NONE,Earring
5656,206.94,3,Male,Male-Light,Clown Hair Green,NONE,NONE,NONE,Silver Chain,Medical Mask,NONE,NONE,NONE
5657,82.1,2,Male,Male-Mid,Crazy Hair,NONE,NONE,NONE,NONE,NONE,Frown,NONE,NONE
5658,100.52,3,Male,Male-Mid,Knitted Cap,Small Shades,Goat,NONE,NONE,NONE,NONE,NONE,NONE
5659,150.21,4,Male,Male-Light,Fedora,Big Shades,NONE,Mole,NONE,NONE,Smile,NONE,NONE
5660,66.01,2,Female,Female-Light,Stringy Hair,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5661,96.41,3,Male,Male-Mid,Cap Forward,NONE,Chinstrap,NONE,NONE,NONE,NONE,NONE,Earring
5662,127.99,3,Male,Male-Mid,Shaved Head,Horned Rim Glasses,NONE,NONE,Gold Chain,NONE,NONE,NONE,NONE
5663,77.3,3,Male,Male-Light,Mohawk Dark,Horned Rim Glasses,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
5664,92.7,2,Male,Male-Mid,Cap Forward,NONE,Goat,NONE,NONE,NONE,NONE,NONE,NONE
5665,181.32,4,Male,Male-Light,Top Hat,Big Shades,Shadow Beard,NONE,NONE,Vape,NONE,NONE,NONE
5666,134.43,3,Female,Female-Albino,Tassle Hat,Clown Eyes Green,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
5667,77.24,3,Female,Female-Mid,Wild Hair,Classic Shades,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
5668,314.48,3,Female,Female-Mid,Wild White Hair,NONE,NONE,NONE,Choker,Cigarette,NONE,NONE,NONE
5669,70.5,2,Female,Female-Light,Stringy Hair,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5670,286.41,2,Female,Female-Dark,Orange Side,Welding Goggles,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5671,77.47,2,Male,Male-Light,Crazy Hair,NONE,Goat,NONE,NONE,NONE,NONE,NONE,NONE
